age,gender,student_status,university,satisfaction_rating,learning_style,preferred_population,school,plans_further_education,career_goal,cost_importance,culture_importance,internship_importance,ranking_influence,extracurricular_importance,family_influence,friend_influence,social_media_influence,scholarship_significance,has_scholarship,funding_source,financial_consideration,residence,personality,leadership_role,extracurricular_hours,extracurricular_type,cca_count,engagement_level,engagement_category,internship_participation,external_influence,satisfaction_group,selection_criteria_list,cca_list
18 - 24,Female,International,SUSS,3,reading/writing,Small,Engineering,1.0,Researcher,5,7,1,1,10,1,4,2,10,1,Scholarship,7.5,On campus,Extroverted,1,19,Academic,2,4,Medium,1,2.3333333333333335,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,reading/writing,Large,Computing,0.5,Software Engineer,6,1,4,7,7,9,2,10,9,1,Family,7.5,Commute,Extroverted,1,5,Academic,2,2,Low,1,7.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,Domestic,SUSS,5,hands-on,Medium,Business,1.0,Other,7,4,3,9,9,7,3,5,7,0,Family,7.0,Commute,Ambivert,1,7,Sports,2,1,Low,1,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,visual,Small,Computing,0.0,Data Scientist,2,8,9,4,5,1,8,10,4,0,Scholarship,3.0,On campus,Ambivert,0,4,Sports,2,4,Medium,0,6.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,auditory,Large,Computing,1.0,Data Scientist,1,8,9,9,9,10,2,3,10,0,Family,5.5,Commute,Introverted,0,10,Sports,2,1,Low,1,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,hands-on,Large,Engineering,1.0,Product Manager,3,4,4,5,7,6,6,3,4,0,Loan,3.5,Commute,Introverted,0,16,Academic,2,5,High,1,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,auditory,Medium,Business,1.0,Entrepreneur,10,7,1,7,9,3,3,9,8,0,Family,9.0,On campus,Ambivert,1,4,Sports,2,2,Low,1,5.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,visual,Medium,Arts & Social Sciences,0.0,Business Analyst,8,10,6,1,8,4,5,1,9,0,Scholarship,8.5,Commute,Ambivert,1,10,Arts,2,3,Medium,0,3.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,reading/writing,Medium,Business,0.5,Business Analyst,8,7,2,1,2,9,7,5,1,0,Self-funded,4.5,Commute,Ambivert,0,1,Academic,2,2,Low,0,7.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,reading/writing,Medium,Business,0.5,Other,6,7,7,10,10,4,9,1,3,0,Family,4.5,On campus,Introverted,0,7,Sports,2,5,High,0,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,hands-on,Medium,Engineering,1.0,Data Scientist,6,3,4,5,3,1,8,3,6,1,Self-funded,6.0,On campus,Ambivert,1,3,Academic,2,2,Low,0,4.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,International,SUSS,4,hands-on,Large,Business,0.0,Software Engineer,6,6,8,3,7,2,3,7,9,0,Family,7.5,Commute,Introverted,0,11,Academic,2,5,High,1,4.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,reading/writing,Large,Engineering,0.0,Software Engineer,8,4,7,1,9,9,2,4,6,1,Family,7.0,Commute,Extroverted,0,10,Arts,2,1,Low,1,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,auditory,Large,Arts & Social Sciences,0.0,Consultant,7,5,8,1,8,5,5,3,1,0,Loan,4.0,On campus,Introverted,0,11,Sports,2,2,Low,0,4.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,Domestic,SUSS,3,hands-on,Medium,Engineering,0.5,Software Engineer,7,10,8,2,6,6,3,2,4,1,Self-funded,5.5,Commute,Extroverted,0,12,Academic,2,3,Medium,0,3.6666666666666665,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,reading/writing,Large,Engineering,1.0,Other,10,10,9,7,10,2,2,2,3,1,Self-funded,6.5,Commute,Ambivert,1,1,Community Service,2,5,High,0,2.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,3,hands-on,Large,Engineering,0.0,Software Engineer,2,2,7,4,7,10,2,3,3,0,Loan,2.5,Commute,Ambivert,0,7,Academic,2,1,Low,1,5.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,hands-on,Large,Design,1.0,Business Analyst,3,8,2,10,8,7,9,2,6,1,Scholarship,4.5,Commute,Ambivert,1,19,Leadership,2,1,Low,0,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,5,reading/writing,Small,Engineering,0.5,Entrepreneur,10,2,3,3,3,1,7,4,4,0,Scholarship,7.0,Commute,Extroverted,1,14,Community Service,2,3,Medium,0,4.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,hands-on,Medium,Engineering,0.5,Product Manager,8,4,9,4,10,1,4,7,9,1,Self-funded,8.5,On campus,Introverted,0,9,Arts,2,1,Low,1,4.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,auditory,Medium,Business,0.0,Software Engineer,5,10,9,3,4,2,4,3,7,1,Family,6.0,Commute,Ambivert,1,15,Community Service,2,4,Medium,1,3.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,visual,Large,Engineering,1.0,Researcher,3,9,4,1,3,4,8,2,7,0,Self-funded,5.0,Commute,Extroverted,1,10,Community Service,2,1,Low,1,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,hands-on,Small,Design,1.0,Researcher,2,1,2,9,5,1,2,6,2,1,Family,2.0,Commute,Ambivert,1,10,Academic,2,5,High,1,3.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,auditory,Small,Business,0.5,Other,6,10,9,8,1,10,4,2,6,0,Self-funded,6.0,On campus,Ambivert,1,6,Community Service,2,3,Medium,0,5.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,hands-on,Large,Engineering,1.0,Business Analyst,2,3,10,6,1,9,3,7,10,0,Self-funded,6.0,On campus,Extroverted,0,12,Academic,2,2,Low,0,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Large,Arts & Social Sciences,0.5,Data Scientist,7,6,9,7,9,6,5,8,6,0,Scholarship,6.5,On campus,Extroverted,1,6,Academic,2,5,High,1,6.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,hands-on,Large,Business,1.0,Software Engineer,10,3,6,9,7,1,3,6,2,1,Family,6.0,Commute,Extroverted,1,20,Sports,2,1,Low,1,3.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,5,hands-on,Large,Business,0.5,Data Scientist,7,8,7,4,8,9,8,1,9,1,Family,8.0,On campus,Introverted,0,10,Academic,2,2,Low,0,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,5,hands-on,Medium,Medicine,0.5,Consultant,9,10,5,1,8,2,1,7,9,0,Scholarship,9.0,On campus,Introverted,1,9,Leadership,2,4,Medium,0,3.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,4,hands-on,Small,Engineering,0.0,Researcher,1,1,10,6,6,2,3,9,7,0,Family,4.0,On campus,Ambivert,0,8,Arts,2,5,High,0,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,visual,Medium,Engineering,0.0,Business Analyst,10,7,5,2,7,10,9,1,6,0,Loan,8.0,Commute,Introverted,1,9,Leadership,2,1,Low,0,6.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,auditory,Large,Medicine,1.0,Product Manager,10,1,10,7,2,7,1,10,7,0,Loan,8.5,Commute,Introverted,1,19,Academic,2,2,Low,1,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,3,reading/writing,Medium,Science,1.0,Consultant,9,9,9,9,4,3,9,1,10,1,Scholarship,9.5,On campus,Extroverted,1,2,Academic,2,3,Medium,1,4.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,4,reading/writing,Large,Design,0.0,Consultant,9,2,7,1,5,10,6,3,5,0,Scholarship,7.0,On campus,Ambivert,1,5,Sports,2,4,Medium,1,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,hands-on,Large,Arts & Social Sciences,1.0,Researcher,7,1,9,4,7,6,7,8,10,1,Loan,8.5,Commute,Ambivert,1,18,Arts,2,3,Medium,1,7.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,hands-on,Large,Computing,0.5,Consultant,9,4,10,5,8,8,8,3,4,0,Loan,6.5,Commute,Ambivert,0,2,Community Service,2,1,Low,0,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,4,auditory,Large,Law,0.5,Software Engineer,6,10,3,3,8,1,5,1,5,1,Scholarship,5.5,On campus,Extroverted,1,12,Academic,2,5,High,0,2.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,auditory,Medium,Computing,0.0,Business Analyst,2,6,8,2,8,5,2,4,7,0,Loan,4.5,Commute,Ambivert,0,12,Arts,2,1,Low,1,3.6666666666666665,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,5,auditory,Large,Business,1.0,Software Engineer,4,4,8,5,6,8,2,6,9,1,Scholarship,6.5,Commute,Ambivert,0,1,Community Service,2,1,Low,1,5.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,visual,Medium,Computing,1.0,Researcher,5,5,8,6,6,8,8,7,7,0,Scholarship,6.0,On campus,Extroverted,0,8,Academic,2,3,Medium,1,7.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,5,hands-on,Large,Medicine,1.0,Software Engineer,5,6,10,9,6,9,1,8,3,1,Scholarship,4.0,Commute,Ambivert,1,17,Academic,2,1,Low,1,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,Domestic,SUSS,3,reading/writing,Large,Engineering,0.5,Product Manager,7,7,3,8,5,5,10,7,6,0,Self-funded,6.5,Commute,Introverted,0,5,Academic,2,1,Low,0,7.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,visual,Large,Business,1.0,Product Manager,8,10,7,8,9,8,6,9,6,0,Self-funded,7.0,On campus,Introverted,1,16,Academic,2,4,Medium,1,7.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,visual,Large,Engineering,1.0,Researcher,8,2,4,5,4,8,3,6,1,0,Family,4.5,Commute,Introverted,0,1,Community Service,2,3,Medium,0,5.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,visual,Medium,Business,0.5,Software Engineer,9,3,8,8,9,3,4,6,9,0,Self-funded,9.0,Commute,Extroverted,1,11,Leadership,2,2,Low,1,4.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,auditory,Medium,Engineering,0.0,Consultant,7,9,2,5,6,2,9,6,5,0,Family,6.0,Commute,Introverted,1,10,Sports,2,1,Low,1,5.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,hands-on,Large,Medicine,1.0,Software Engineer,7,9,2,8,1,2,7,1,10,1,Family,8.5,On campus,Ambivert,1,18,Community Service,2,4,Medium,1,3.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,reading/writing,Small,Engineering,0.5,Researcher,2,1,4,10,10,2,4,7,4,0,Loan,3.0,Commute,Introverted,1,3,Academic,2,1,Low,1,4.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,hands-on,Large,Business,0.0,Business Analyst,6,10,7,3,2,3,4,5,9,0,Family,7.5,Commute,Extroverted,0,0,Leadership,2,1,Low,1,4.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,auditory,Medium,Science,0.5,Entrepreneur,2,1,4,7,2,2,2,5,5,0,Scholarship,3.5,Commute,Introverted,0,16,Community Service,2,2,Low,0,3.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Large,Engineering,0.0,Business Analyst,3,7,4,7,6,2,7,1,7,1,Scholarship,5.0,Commute,Ambivert,0,10,Leadership,2,1,Low,0,3.3333333333333335,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,5,visual,Small,Business,0.0,Business Analyst,3,6,9,1,2,9,8,10,4,1,Family,3.5,Commute,Ambivert,1,3,Academic,2,4,Medium,0,9.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,auditory,Large,Engineering,0.5,Product Manager,5,9,7,5,6,3,4,1,3,1,Self-funded,4.0,Commute,Introverted,0,9,Arts,2,5,High,1,2.6666666666666665,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,hands-on,Large,Engineering,1.0,Data Scientist,10,5,6,9,10,6,5,3,4,0,Family,7.0,Commute,Extroverted,0,13,Leadership,2,1,Low,1,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,visual,Small,Design,1.0,Other,4,10,4,3,8,7,10,3,1,0,Family,2.5,On campus,Introverted,1,1,Academic,2,2,Low,1,6.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,auditory,Medium,Engineering,0.0,Data Scientist,1,9,5,5,9,4,7,2,9,0,Scholarship,5.0,Commute,Introverted,1,15,Community Service,2,1,Low,0,4.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,reading/writing,Medium,Computing,1.0,Software Engineer,3,8,1,10,9,6,8,4,5,1,Family,4.0,On campus,Ambivert,1,2,Academic,2,1,Low,1,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
Over 30,Male,Domestic,SUSS,3,hands-on,Small,Medicine,0.5,Data Scientist,4,1,10,6,10,3,2,10,5,0,Loan,4.5,On campus,Ambivert,1,16,Arts,2,2,Low,1,5.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,hands-on,Large,Business,0.5,Other,2,3,6,9,1,6,9,5,1,0,Loan,1.5,Commute,Introverted,0,16,Sports,2,4,Medium,1,6.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,hands-on,Large,Law,0.0,Data Scientist,1,6,5,5,10,9,8,1,2,0,Scholarship,1.5,Commute,Extroverted,1,12,Arts,2,1,Low,1,6.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,visual,Small,Engineering,1.0,Product Manager,3,10,8,3,5,9,8,5,7,0,Family,5.0,Commute,Ambivert,0,10,Arts,2,5,High,0,7.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,Domestic,SUSS,5,auditory,Small,Business,1.0,Data Scientist,1,8,2,1,8,1,2,3,5,1,Self-funded,3.0,On campus,Ambivert,1,20,Arts,2,5,High,0,2.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,reading/writing,Medium,Computing,1.0,Researcher,5,9,4,10,10,6,3,5,9,0,Scholarship,7.0,Commute,Ambivert,0,9,Arts,2,2,Low,1,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Medium,Law,0.5,Researcher,7,6,9,10,10,10,7,7,5,0,Self-funded,6.0,On campus,Ambivert,1,2,Academic,2,3,Medium,1,8.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,reading/writing,Large,Business,0.5,Entrepreneur,1,8,2,8,4,3,10,1,5,0,Loan,3.0,Commute,Extroverted,0,9,Leadership,2,2,Low,1,4.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Small,Arts & Social Sciences,1.0,Researcher,5,2,3,9,9,7,2,6,6,0,Loan,5.5,On campus,Introverted,0,3,Sports,2,1,Low,0,5.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,hands-on,Medium,Science,0.0,Product Manager,1,5,5,5,9,5,9,3,1,1,Scholarship,1.0,Commute,Ambivert,1,6,Academic,2,3,Medium,0,5.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,reading/writing,Large,Arts & Social Sciences,0.5,Entrepreneur,6,4,10,7,2,2,9,10,7,0,Family,6.5,On campus,Extroverted,1,0,Arts,2,1,Low,0,7.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,hands-on,Medium,Design,0.0,Other,10,8,1,7,10,9,6,8,4,1,Loan,7.0,Commute,Introverted,1,13,Sports,2,3,Medium,0,7.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,visual,Large,Business,1.0,Other,3,4,5,9,10,3,1,2,5,0,Self-funded,4.0,Commute,Extroverted,1,13,Sports,2,3,Medium,0,2.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,auditory,Medium,Law,1.0,Product Manager,2,3,6,9,8,3,8,2,4,1,Family,3.0,On campus,Ambivert,1,18,Leadership,2,4,Medium,1,4.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,auditory,Medium,Arts & Social Sciences,0.5,Consultant,1,3,3,1,2,10,2,5,5,0,Scholarship,3.0,Commute,Extroverted,0,8,Arts,2,1,Low,0,5.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,reading/writing,Large,Science,0.0,Data Scientist,6,6,5,9,4,6,3,4,3,0,Loan,4.5,On campus,Ambivert,1,5,Arts,2,4,Medium,1,4.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
Over 30,Female,Domestic,SUSS,4,visual,Small,Engineering,0.0,Other,9,6,8,2,1,2,9,4,2,0,Self-funded,5.5,Commute,Extroverted,0,6,Academic,2,1,Low,1,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,hands-on,Medium,Computing,1.0,Other,4,2,8,8,6,8,2,5,5,0,Family,4.5,On campus,Extroverted,1,17,Sports,2,5,High,1,5.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
Over 30,Male,Domestic,SUSS,4,hands-on,Small,Computing,1.0,Business Analyst,1,4,10,4,10,10,4,5,9,1,Self-funded,5.0,On campus,Introverted,0,19,Leadership,2,4,Medium,0,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
